song_name,most_common_hum,n_hums,n_regulars,percent_hums
I Hear Them Calling Me (Ft. Lil B),NONE,0,434,0
I Get It In,NONE,0,337,0
I Do My Thing (Ft. Snoop Dogg),NONE,0,533,0
I Be High,hey,1,707,0.0014124293785310734
Hyyerr (Ft. King Chip),oh,9,533,0.016605166051660517
Highs N' Lows,NONE,0,707,0
Higher Up,NONE,0,216,0
Hero (Ft. Skylar Grey),oh,1,231,0.004310344827586207
Heaven at Nite,oh,6,256,0.022900763358778626
Heart of a Lion (Kid Cudi Theme Music),NONE,0,614,0
Handle with Care,oh,2,300,0.006622516556291391
Goodbye,NONE,0,472,0
Going to the Ceremony,hmm,5,155,0.03125
Girls (Ft. Too $hort),hmm,2,494,0.004032258064516129
Ghost!,na,20,390,0.04878048780487805
Get Ya Mind Correct,NONE,0,816,0
Get It In,oh,1,659,0.0015151515151515152
Fuchsia Butterflies,oh,6,207,0.028169014084507043
Frequency,hmm,5,304,0.016181229773462782
Freestyle Jam (Ft. Asher Roth),hey,8,1214,0.006546644844517185
Follow Me,oh,4,155,0.025157232704402517
Flight at First Sight / Advanced (Ft. Pharrell Williams),bmm,64,616,0.09411764705882353
Falling Star,NONE,0,152,0
Fairy Tale Remains,oh,1,258,0.003861003861003861
Fade 2 Red,oh,1,221,0.0045045045045045045
Excuse My Mood,ah,1,246,0.004048582995951417
Erase Me (Ft. Kanye West),hmm,4,411,0.00963855421686747
Enter Galactic (Love Connection Part I),ay,2,494,0.004032258064516129
Embers,NONE,0,209,0
Edge of the Earth / Post Mortem Boredom,na,41,215,0.16015625
Drop (Freestyle),NONE,0,380,0
"Drake Diss, ""Money, Cash, Hoes Needs to be Deaded"" [Arsenio Hall Appearance]",oh,1,271,0.003676470588235294
Down Out,hey,5,596,0.008319467554076539
Do What I Want,hm,11,255,0.041353383458646614
Dose of Dopeness,oh,12,535,0.021937842778793418
Don't Play This Song (Ft. Mary J. Blige),ooh,21,515,0.03917910447761194
Does It,oh,24,661,0.035036496350364967
