section_name,Hum,Regular,Hum_pct,Regular_pct
Intro,64,98,0.3950617283950617,0.6049382716049383
Verse,111,3271,0.03282081608515671,0.9671791839148433
Pre-Chorus,17,326,0.04956268221574344,0.9504373177842566
Chorus,115,1641,0.06548974943052392,0.9345102505694761
Post-Chorus,75,126,0.373134328358209,0.6268656716417911
Bridge,2,59,0.03278688524590164,0.9672131147540983
Interlude,9,57,0.13636363636363635,0.8636363636363636
Outro,95,85,0.5277777777777778,0.4722222222222222
